trajectory_id,n_steps,simultaneous_coverage,step_coverage_rate,first_watch_lead,first_defer_lead,first_escalate_lead,has_failure,n_transitions,transition_rate_per_100
nasa_engine_81,240,1,1.0,206,,,1,0,0.0
nasa_engine_82,214,1,1.0,180,,,1,0,0.0
nasa_engine_83,293,1,1.0,259,,,1,0,0.0
nasa_engine_84,267,1,1.0,233,,,1,0,0.0
nasa_engine_85,188,1,1.0,154,,,1,0,0.0
nasa_engine_86,278,1,1.0,244,,,1,0,0.0
nasa_engine_87,178,1,1.0,144,,,1,0,0.0
nasa_engine_88,213,1,1.0,179,,,1,0,0.0
nasa_engine_89,217,1,1.0,183,,,1,0,0.0
nasa_engine_90,154,1,1.0,120,,,1,0,0.0
nasa_engine_91,135,1,1.0,101,,,1,0,0.0
nasa_engine_92,341,1,1.0,307,,,1,0,0.0
nasa_engine_93,155,1,1.0,121,,,1,0,0.0
nasa_engine_94,258,1,1.0,224,,,1,0,0.0
nasa_engine_95,283,1,1.0,249,,,1,0,0.0
nasa_engine_96,336,1,1.0,302,,,1,0,0.0
nasa_engine_97,202,1,1.0,168,,,1,0,0.0
nasa_engine_98,156,1,1.0,122,,,1,0,0.0
nasa_engine_99,185,1,1.0,151,,,1,0,0.0
nasa_engine_100,200,1,1.0,166,,,1,0,0.0
