ood_risk,uncertainty_risk,drift_risk,fused_risk,Failure_Onset_Next,Failure_Within_3,trajectory_id,is_failure
0.1099,0.1107,0.0347,0.098,0,0,0,0
0.1172,0.1307,0.0377,0.167,0,0,0,0
0.163,0.1648,0.0507,0.1497,0,0,0,0
0.2105,0.1617,0.0658,0.1688,0,0,0,0
0.2153,0.2055,0.0946,0.2465,0,0,0,0
0.2453,0.2688,0.1211,0.2356,1,1,0,0
0.7516,0.6297,0.3885,0.6642,1,1,0,1
0.8253,0.7563,0.5238,0.7208,1,1,0,1
0.8706,0.8018,0.594,0.8034,1,1,0,1
0.9309,0.8618,0.6771,0.9039,0,1,0,1
0.1148,0.1265,0.0152,0.1172,0,0,1,0
0.1234,0.1323,0.0381,0.1608,0,0,1,0
0.1477,0.1465,0.0389,0.1493,0,0,1,0
0.174,0.2122,0.068,0.2213,0,0,1,0
0.1904,0.2606,0.1081,0.1776,0,0,1,0
0.2356,0.2986,0.1336,0.2764,1,1,1,0
0.7108,0.6332,0.3993,0.6617,1,1,1,1
0.8311,0.7438,0.53,0.754,1,1,1,1
0.8869,0.8266,0.6036,0.8318,1,1,1,1
0.8847,0.9095,0.6735,0.8602,0,1,1,1
0.0956,0.1219,0.0058,0.0716,0,0,2,0
0.1271,0.1594,0.0358,0.1295,0,0,2,0
0.1796,0.146,0.0466,0.1512,0,0,2,0
0.1696,0.1934,0.072,0.2393,0,0,2,0
0.2038,0.2322,0.0984,0.2262,0,0,2,0
0.24,0.2507,0.124,0.266,1,1,2,0
0.7383,0.6559,0.4189,0.6593,1,1,2,1
0.8166,0.7552,0.5217,0.7366,1,1,2,1
0.8694,0.8201,0.6026,0.8529,1,1,2,1
0.9303,0.8853,0.6793,0.915,0,1,2,1
0.1158,0.089,0.0223,0.115,0,0,3,0
0.1018,0.1414,0.0531,0.1369,0,0,3,0
0.1781,0.1388,0.0339,0.1364,0,0,3,0
0.152,0.2095,0.0818,0.1946,0,0,3,0
0.2317,0.2216,0.1026,0.2359,0,0,3,0
0.2938,0.311,0.1278,0.2457,1,1,3,0
0.7002,0.6343,0.3876,0.6973,1,1,3,1
0.7987,0.7436,0.5068,0.7695,1,1,3,1
0.882,0.8363,0.6052,0.8062,1,1,3,1
0.9099,0.8654,0.683,0.9131,0,1,3,1
0.0805,0.1022,0.0263,0.1011,0,0,4,0
0.1357,0.1237,0.0314,0.1471,0,0,4,0
0.1732,0.1585,0.0393,0.1543,0,0,4,0
0.1636,0.2068,0.0848,0.1651,0,0,4,0
0.2393,0.2455,0.0978,0.2335,0,0,4,0
0.2583,0.2965,0.1271,0.2677,1,1,4,0
0.7364,0.6503,0.4047,0.6423,1,1,4,1
0.8479,0.7791,0.5193,0.7631,1,1,4,1
0.8751,0.8147,0.5915,0.8312,1,1,4,1
0.9049,0.9444,0.6649,0.8771,0,1,4,1
0.1072,0.1314,0.0431,0.0954,0,0,5,0
0.1312,0.1627,0.0213,0.1343,0,0,5,0
0.1717,0.1791,0.0569,0.1509,0,0,5,0
0.2011,0.213,0.0639,0.177,0,0,5,0
0.1924,0.2337,0.0953,0.2729,0,0,5,0
0.2312,0.2952,0.1309,0.2727,1,1,5,0
0.7303,0.6345,0.4006,0.6195,1,1,5,1
0.8203,0.7453,0.5092,0.7637,1,1,5,1
0.8903,0.8103,0.5928,0.8168,1,1,5,1
0.99,0.8916,0.6868,0.917,0,1,5,1
